video_id,video_url,transcript,description,hashtags,view_count,like_count,comment_count,share_count,duration,transcript_source
7411210097201859845,https://www.tiktok.com/@reidhoffman/video/7411210097201859845,"[Visual: SpeakerA suggests exploring mystery boxes, while SpeakerB expresses excitement.] [Visual: A woman with long brown hair looks down while a message screen is displayed on top.] : Why don't we go to one of the mystery boxes? [Visual: A man with glasses and a blue shirt speaks to the camera.] : I'm very excited for this. [Visual: SpeakerA and SpeakerB are presented with ""Frankenstein's Monster"", then SpeakerB explains how AI can help humans and animals, and SpeakerC highlights AI's ability to help in communication and understanding.] [Visual: A man and a woman sit at a table with several screens showing the same message.] : Frankenstein's Monster. [Visual: A man with glasses and a blue shirt speaks directly to the camera.] : AI help man, dog, dolphin. [Visual: A woman smiles broadly while a screen with text is visible next to her.] : Help talk, understand. : AI like Bridge, speak animal words. [Visual: A man with glasses and a blue shirt speaks to the camera.] : Better care, less hurt, ask how live, what like. [Visual: SpeakerA introduces AI's potential, SpeakerB laughs and explains that AI can help understand animals and people, and SpeakerC emphasizes AI's role in collaborative learning.] [Visual: A man with glasses and a blue shirt holds the red phone in his hands, smiling.] : AI open new world. [Visual: A woman laughs, covering her mouth with her hand.] : Understand animals, understand selves. [Visual: A woman with long brown hair wearing a black jacket laughs while looking at a phone.] : Learn together better world.",We asked AI how to talk to animals #ai #technology,"ai, technology",3118,43,1,0,48,opusclip
7410879002975489286,https://www.tiktok.com/@reidhoffman/video/7410879002975489286,"[Visual: Speaker discusses how AI, such as in autonomous driving, is preferable to humans because they don't get tired or drunk and have better sensors.] [Visual: A man wearing glasses and a black shirt speaks in front of a microphone during a podcast.] : There's some jobs when we'll just want the AI only to be doing it versus the human. [Visual: A man wearing glasses and a black shirt speaks in front of a microphone during a podcast.] : So for example, driving, we actually want AIs driving because they don't get drunk, they don't get tired, they have a lot more sensors to pay attention to the world around them, like they can have LIDAR and infrared so they can see the kid who is running out from behind the parked car whereas a human can't.",The positive impact of AI,,2193,49,1,3,45,opusclip
7401139211396533509,https://www.tiktok.com/@reidhoffman/video/7401139211396533509,"[Visual: Speaker introduces AI's impact on sales, stating that AI will enhance human capabilities and lead to performance improvements.] [Visual: A man with glasses is speaking in front of a graphic that reads, 'HOW AI WILL TRANSFORM TRADITIONAL SALES ROLES.'] : It isn't that human beings are gonna be replaced. : Human beings that are using AI are gonna be the people who are gonna be getting the jobs. [Visual: Two men are seated in chairs discussing AI, separated by a graphic.] : If you look at a company, let's say the tools 3 years from now can create 2X better performance or 4X better performance per job. [Visual: Speaker explains that AI will automate repetitive tasks, clarifying that AI won't replace sales jobs, and emphasizes the importance of human skills like emotional connection.] : Sales, are you gonna fire sales people? : No. [Visual: Two men are seated in chairs discussing something.] : You like the 2X, 4X better performance, that's great. : So, like, for example, if what your job is is to do digital form entry into the advertising system, act like a robot, let, will be greatly accelerated. : But the job of how do we position ourselves, get an emotional connection, create a brand, how do we bring new kinds of marketing like content marketing? [Visual: Speaker states that companies will prefer humans who can use AI rather than eliminating human jobs.] [Visual: A man is talking and gesturing with his hands to make a point.] : Most of the departments do not end up going, ""We're trading human jobs down."" We are preferring humans that can use AI.",How AI will transform traditional sales roles,"reidhoffman, innovation, ai, Tech, tech",1819,39,1,1,41,opusclip
7410457843893013766,https://www.tiktok.com/@reidhoffman/video/7410457843893013766,"[Visual: Speaker introduces the topic of AI's impact on food, including how AI can modify recipes based on dietary needs.] [Visual: A woman with long brown hair and a pink blazer speaks into a microphone.] : how AI and technology are gonna affect the future of food. [Visual: An artistic representation of a burger sits atop a black stand against a light blue background.] : Do you have thoughts? [Visual: A woman with long brown hair and a pink blazer speaks into a microphone.] : You could feed in a recipe and you could say, ""I'd like this to be healthier,"" ""I'd like this to be gluten-free,"" or, ""My friend's vegan, what should I do?"" Yeah. : Like, all of that is there now. [Visual: Speaker discusses AI's application in food production, using a farm scenario to illustrate the challenges and potential solutions.] : Like, say for example I'm making food. : I might be saying, like, okay, I'm a farmer or I'm a rancher. : I'm like, okay, h- how do I navigate this thing- Mm-hmm. [Visual: A man with glasses and a light blue shirt speaks into a microphone.] : with the chickens, the pigs, you know? [Visual: A woman with long brown hair and a pink blazer speaks into a microphone.] : Actually, I was talking to a, a friend of mine who was visiting a farm and he's like, ""The ravens were getting into the hen coop and killing the chickens trying to get the eggs."" And I was like, ""Okay, well, what would you do about that and how would you navigate that?"" So, that personal intelligence, that copilot- Yeah.",How will AI transform the food industry?,,1360,31,1,5,38,opusclip
7410095210446818565,https://www.tiktok.com/@reidhoffman/video/7410095210446818565,"[Visual: A man with glasses introduces the topic of AI concerns, highlighting the fear of AI's dangers while emphasizing the importance of navigating risks to realize AI's potential, and comparing the discourse around AI to the printing press era's concerns about spreading misinformation.] [Visual: A man with glasses sits in front of a microphone and asks 'AI stuff?'] : Most people are like, ""Oh my God, I- why are we building this AI stuff? : It's dangerous."" Like risk discourse, risk discourse. : Like look, we have amazing things in front of us and that's why it's worth navigating the risk. [Visual: A fence with barbed wire is shown with a gem floating above it and the text 'the risk' on the screen.] : And the slowness by which persuading journalists, academics, other people to say, ""Hey look, your discourse around AI is like the discourse when the printing press was launched."" People would say, ""It spreads misinformation."" You're like, ""Okay. [Visual: The man with glasses draws a parallel between AI and the printing press, asserting that AI is a good thing and pointing out AI's potential benefits, such as a medical assistant on every smartphone.] : By the way, the printing press was a good thing."" I have a line of sight to a medical assistant, probably better than your average general practitioner on every smartphone.",Who does AI benefit the most?,,1203,31,1,0,47,opusclip
7401850428876459270,https://www.tiktok.com/@reidhoffman/video/7401850428876459270,"[Visual: Speaker introduces the topic of startup financing myths, highlighting that it's not all about money and emphasizing the importance of investors bringing more than just money, and introduces the second myth about the order of pitch deck slides.] [Visual: A man in glasses and a jacket gestures in front of a background with the words 'START-UP FINANCING MYTH UNVEILED' and a person working on a laptop in the background.] : Today, I'm busting 7 myths about startup financing. [Visual: The words '7 MYTHS' and 'START-UP FINANCING' appear over a scene of a person sitting cross-legged working on a laptop.] : Myth one: it's all about the money. : Nope. : It's about partnering with investors who bring more to the table, like a strong network and market intelligence. [Visual: Three people are working on laptops in front of a whiteboard covered in business-related drawings and graphs.] : Myth 2: if your team is strong, show your team slide first. [Visual: White screen with the text 'TEAM SLIDE FIRST'.] [Visual: Speaker explains the importance of starting with the investment thesis, then introduces the third myth about pitch structure, clarifying that pitches are either data-driven or concept-driven and need to be tailored accordingly.] : I would not do this. [Visual: A man in a grey jacket speaks to the camera with two people in the background.] : In fact, you need to start with your investment thesis. : Grab investors' attention with what they need to believe first. [Visual: A person looks at a screen showing two figures in boxes connected by a curved arrow.] : Myth 3: all pitches follow the same structure. [Visual: A man wearing glasses and a jacket is speaking directly to the camera.] : Not true. [Visual: A close-up of a man with glasses speaking directly to the camera, with text overlay: ""NOT TRUE, YOUR PITCH IS"".] : Your pitch is either data-driven or concept-driven. [Visual: A woman in a yellow suit stands in front of a screen with complex diagrams and glowing lines, with text overlay: ""OR CONCEPT DRIVEN.""] : Know which one you're pitching.",Startup financing myths unveiled,"reidhoffman, StartUp, entrepreneur, business, innovation, startup",1150,24,0,0,52,opusclip
7401881358357777670,https://www.tiktok.com/@reidhoffman/video/7401881358357777670,"[Visual: Speaker discusses how as an organization scales and becomes more complex, it's crucial to invest in understanding and managing responsibilities and potential impacts.] [Visual: A young man in a yellow shirt and sunglasses stands in front of a backdrop with 'RISK FACTOR' text.] : And one of the things we realized was, if what you did is you plotted, said, ""Look, as I know as I get my organization larger, as I know that I get to more multi-threaded, I can actually start investing in what my responsibilities are."" Because I can start thinking, ""Okay, now we're bigger, we're doing more things, and we're still really running to compete, but we should have somebody, some part of the group thinking about our responsibilities, what [Visual: A person sits at a desk in front of a wall covered in notes and papers.] : our impacts could be.""",How to approach decision making at PayPal,"reidhoffman, paypal, StartUp, entrepreneur, business, startup",1021,18,0,0,54,opusclip
7409737801752743174,https://www.tiktok.com/@reidhoffman/video/7409737801752743174,"[Visual: Speaker states that there are declining industries.] [Visual: A man with glasses is featured in the top half of the screen, with the text 'HOW CAN YOU SPOT A DECLINING INDUSTRY?' displayed above him against a blue sky background.] [Visual: Speaker reflects on past career choices, mentioning the desire to be a product manager after leaving Apple for Fujitsu.] : There are industries that are on the decline. [Visual: Speaker suggests that joining Netscape might have been a better choice due to the online revolution.] : If I were to go back and think about, like, what things maybe I would've done that would be smarter decisions, it would be I was oriented when I left Apple to go to Fujitsu on, ""I must be a product manager. [Visual: Speaker emphasizes the importance of choosing industries and networks that align with one's interests and goals.] : I must have product manager as my experience."" Actually, in fact, maybe the decision would've been to go to Netscape because it's an online revolution, and being part of the online revolution is what matters more than the Fujitsu. : So choose kind of where the networks and industries that fit you and fit the kind of things you would want to do.",How can you spot a declining industry?,,897,32,2,0,34,opusclip
7401912306738711813,https://www.tiktok.com/@reidhoffman/video/7401912306738711813,"[Visual: A man in a suit introduces the topic by discussing the lack of public sharing of medical data and the difficulties in sharing medical information.] [Visual: A man in a suit stands against a blue background with the words 'BALANCING RISKS FOR MEDICAL BREAKTHROUGHS' at the top.] : Which risks should we be taking to make acceleration in medicine? [Visual: A blurry scene with text overlay saying, 'BE TAKING TO MAKE'.] : The lack of public sharing of medical data. : The sharing of that information has become incredibly difficult. [Visual: A blank, bright scene with text overlay saying 'INFORMATION HAS BECOME'.] [Visual: The video explains how AI can mine medical information, even unstructured medical notes, and predict risks for chronic kidney disease and eyesight loss.] [Visual: A man speaks in front of a white background with a white board on the right] : AI will soon allow us to mine, uh, medical information extremely well, even unstructured medical information, medical notes. [Visual: Animated medical information on a clipboard next to an AI book floating in the clouds.] : We may be able to figure out who's at the great risk for chronic kidney disease in the future or- or- you know, losing their eyesight in the future. [Visual: The speaker emphasizes the need to access unstructured medical notes to potentially prevent eyesight loss and visually represents chronic kidney disease.] : In order to do that, we have to g- be able to access these unstructured medical notes, which is an incredible corpus of kno- knowledge. [Visual: The video concludes by highlighting the importance of sharing information for medical advancements.] [Visual: A microscope is displayed with a stethoscope and notebook next to it.] : Obviously, we realize that the only way to do that- this is information and the sharing of information. : So I think that's absolutely crucial.",What risks are worth taking for medical breakthroughs?,"reidhoffman, siddharthamukherjee, health, innovation",878,21,1,0,38,opusclip
7400799092026199301,https://www.tiktok.com/@reidhoffman/video/7400799092026199301,"[Visual: Speaker states that artificial intelligence and generative AI are the most important tech developments, building upon the internet, mobile, and cloud.] [Visual: A man with glasses speaks about AI with cartoon graphics of computer chips with a brain and the letters 'AI' overlayed.] : Artificial intelligence and generative AI is the most important tech, uh, development for the world in my lifetime, and maybe it will be for my entire lifetime. : It- because it builds upon the internet, it builds upon mobile, it builds upon cloud, and it's the crescendo of all of these things.",Is AI one of the most important tech developments?,"reidhoffman, innovation, ai, Tech, tech",817,14,0,0,36,opusclip
